0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/project/project-image02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/project/project-image01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/project/project-image03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/project/project-image04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/Headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/jQuery.headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:55:17 +0530] "GET /project/images/project/project-image05.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/ HTTP/1.1" 200 14978
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/css/unicons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/css/tooplate-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/undraw/undraw_software_engineer_lvl5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/project/project-image03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/project/project-image01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/project/project-image04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/project/project-image02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/Headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/jQuery.headroom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Aug/2023:23:56:50 +0530] "GET /project/images/project/project-image05.png HTTP/1.1" 304 -
