0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:36 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:36 +0530] "GET /project/login.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:36 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:37 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:37 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:47 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:47 +0530] "GET /project/login.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:47 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:48 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:48 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:54 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:54 +0530] "GET /project/login.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:54 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:55 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:12:55 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:02 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:02 +0530] "GET /project/login.jsp HTTP/1.1" 200 6592
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:02 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:03 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:03 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:43 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:43 +0530] "GET /project/login.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:43 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:44 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:44 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:53 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:53 +0530] "GET /project/admin.jsp HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:57 +0530] "GET /project/read-message.jsp HTTP/1.1" 200 5776
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:58 +0530] "GET /project/admin.jsp HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:59 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:59 +0530] "GET /project/login.jsp HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:13:59 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:00 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:00 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:23 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:23 +0530] "GET /project/login.jsp HTTP/1.1" 200 6604
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:23 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:24 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:24 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:44 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:44 +0530] "GET /project/admin.jsp HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:47 +0530] "POST /project/Auth HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:47 +0530] "GET /project/login.jsp HTTP/1.1" 200 6594
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:47 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:49 +0530] "GET /project/login.jsp HTTP/1.1" 200 6465
0:0:0:0:0:0:0:1 - - [25/Sep/2023:01:14:49 +0530] "GET /changeCredential.css HTTP/1.1" 404 771
